iter	Passed	Remaining
625	1353	808
626	1354	806
627	1356	803
628	1358	801
629	1360	799
630	1363	797
631	1365	794
632	1367	792
633	1369	790
634	1371	788
635	1373	785
636	1374	783
637	1377	781
638	1379	779
639	1381	776
640	1383	774
641	1385	772
642	1386	770
643	1388	767
644	1391	765
645	1393	763
646	1395	761
647	1397	759
648	1399	757
649	1401	754
650	1404	752
651	1406	750
652	1408	748
653	1410	746
654	1412	743
655	1414	741
656	1416	739
657	1418	737
658	1420	735
659	1423	733
660	1425	731
661	1427	728
662	1429	726
663	1431	724
664	1433	722
665	1435	720
666	1438	718
667	1440	715
668	1442	713
669	1444	711
670	1446	709
671	1448	706
672	1449	704
673	1452	702
674	1454	700
675	1456	698
676	1459	696
677	1461	693
678	1462	691
679	1464	689
680	1467	687
681	1469	685
682	1471	683
683	1473	680
684	1475	678
685	1477	676
686	1479	674
687	1483	672
688	1485	670
689	1487	668
690	1489	666
691	1491	663
692	1493	661
693	1495	659
694	1498	657
695	1500	655
696	1502	653
697	1504	650
698	1506	648
699	1508	646
700	1511	644
701	1514	642
702	1516	640
703	1518	638
704	1521	636
705	1523	634
706	1525	632
707	1528	630
708	1530	628
709	1532	625
710	1534	623
711	1536	621
712	1537	619
713	1539	616
714	1542	614
715	1544	612
716	1546	610
717	1549	608
718	1551	606
719	1553	604
720	1555	601
721	1558	600
722	1560	597
723	1562	595
724	1564	593
725	1566	591
726	1568	589
727	1570	586
728	1574	585
729	1576	582
730	1578	580
731	1579	578
732	1583	576
733	1585	574
734	1588	572
735	1590	570
736	1593	568
737	1595	566
738	1597	564
739	1599	562
740	1602	560
741	1605	558
742	1607	555
743	1609	553
744	1611	551
745	1614	549
746	1615	547
747	1618	545
748	1620	542
749	1622	540
750	1624	538
751	1626	536
752	1628	534
753	1631	532
754	1633	530
755	1635	527
756	1637	525
757	1640	523
758	1642	521
759	1644	519
760	1646	517
761	1649	515
762	1651	512
763	1653	510
764	1655	508
765	1657	506
766	1659	504
767	1661	501
768	1663	499
769	1666	497
770	1668	495
771	1670	493
772	1673	491
773	1675	489
774	1677	486
775	1679	484
776	1682	482
777	1684	480
778	1686	478
779	1688	476
780	1690	473
781	1692	471
782	1695	470
783	1698	467
784	1700	465
785	1702	463
786	1704	461
787	1706	459
788	1709	457
789	1711	455
790	1713	452
791	1715	450
792	1717	448
793	1719	446
794	1722	444
795	1725	442
796	1728	440
797	1730	437
798	1732	435
799	1734	433
800	1736	431
801	1739	429
802	1741	427
803	1743	425
804	1745	422
805	1747	420
806	1749	418
807	1752	416
808	1755	414
809	1758	412
810	1760	410
811	1763	408
812	1766	406
813	1771	404
814	1773	402
815	1776	400
816	1778	398
817	1781	396
818	1785	394
819	1788	392
820	1790	390
821	1794	388
822	1796	386
823	1800	384
824	1802	382
825	1804	380
826	1808	378
827	1810	376
828	1812	373
829	1816	372
830	1818	369
831	1821	367
832	1823	365
833	1825	363
834	1827	361
835	1830	359
836	1833	357
837	1835	354
838	1838	352
839	1840	350
840	1842	348
841	1846	346
842	1849	344
843	1851	342
844	1854	340
845	1857	338
846	1861	336
847	1864	334
848	1866	332
849	1869	329
850	1871	327
851	1874	325
852	1877	323
853	1880	321
854	1883	319
855	1885	317
856	1888	315
857	1891	312
858	1893	310
859	1895	308
860	1896	306
861	1898	303
862	1900	301
863	1902	299
864	1905	297
865	1908	295
866	1909	292
867	1911	290
868	1913	288
869	1915	286
870	1917	284
871	1920	281
872	1922	279
873	1924	277
874	1926	275
875	1928	272
876	1930	270
877	1932	268
878	1935	266
879	1937	264
880	1939	261
881	1941	259
882	1943	257
883	1944	255
884	1946	252
885	1950	250
886	1952	248
887	1954	246
888	1956	244
889	1958	242
890	1960	239
891	1962	237
892	1964	235
893	1966	233
894	1968	230
895	1970	228
896	1972	226
897	1974	224
898	1976	222
899	1979	219
900	1981	217
901	1983	215
902	1985	213
903	1987	211
904	1988	208
905	1990	206
906	1993	204
907	1995	202
908	1998	200
909	2000	197
910	2002	195
911	2004	193
912	2006	191
913	2009	189
914	2011	186
915	2013	184
916	2015	182
917	2018	180
918	2020	178
919	2022	175
920	2024	173
921	2026	171
922	2028	169
923	2030	167
924	2032	164
925	2035	162
926	2037	160
927	2039	158
928	2041	156
929	2043	153
930	2046	151
931	2048	149
932	2050	147
933	2052	145
934	2055	142
935	2057	140
936	2060	138
937	2062	136
938	2065	134
939	2067	131
940	2069	129
941	2071	127
942	2073	125
943	2076	123
944	2078	120
945	2080	118
946	2083	116
947	2086	114
948	2088	112
949	2091	110
950	2093	107
951	2095	105
952	2097	103
953	2100	101
954	2102	99
955	2104	96
956	2106	94
957	2108	92
958	2110	90
959	2112	88
960	2115	85
961	2118	83
962	2120	81
963	2122	79
964	2124	77
965	2126	74
966	2128	72
967	2131	70
968	2133	68
969	2135	66
970	2137	63
971	2139	61
972	2141	59
973	2143	57
974	2146	55
975	2148	52
976	2150	50
977	2152	48
978	2154	46
979	2156	44
980	2158	41
981	2161	39
982	2163	37
